property,domain,range,phase,definition
codeValue,Identifier,xsd:string,1,The literal code value held by a reified identifier
validFrom,Identifier,xsd:date,1,Date the identifier became valid
validTo,Identifier,xsd:date,1,Date the identifier stopped being valid (absent = current)
sourceRecordId,SourceRecord,xsd:string,1,Natural key of the record within its source system
ingestedAt,SourceRecord,xsd:dateTime,1,Timestamp the record was ingested into the pipeline
retrievedAt,Dataset,xsd:dateTime,1,Timestamp the dataset snapshot was retrieved from its source
confidenceScoreValue,ConfidenceScore,xsd:decimal,1,Numeric confidence 0.0-1.0
sourceAuthorityLevel,SourceSystem,xsd:string,1,authoritative | non-authoritative | community-maintained
freshnessRiskNote,SourceSystem,xsd:string,1,Free-text note on staleness risk (e.g. OpenFlights routes frozen since 2014)
iataCode,Airline,xsd:string,1,2-character IATA airline designator
icaoCode,Airline,xsd:string,1,3-character ICAO airline designator
airlineName,Airline,xsd:string,1,Commercial/brand name of the airline
callsign,Airline,xsd:string,1,Radiotelephony callsign of the airline
allianceName,Alliance,xsd:string,1,Name of the alliance
isActive,Organization,xsd:boolean,1,Whether the organization is currently operating
carrierType,Airline,xsd:string,1,Controlled carrier-type value (see controlled vocabularies)
legalEntityName,LegalEntity,xsd:string,1,"Registered legal name, e.g. Koninklijke Luchtvaart Maatschappij N.V. for KLM"
isoCountryCode,Country,xsd:string,2,"ISO 3166-1 alpha-2 country code, e.g. NL"
countryName,Country,xsd:string,2,English-language country name
continentCode,Country,xsd:string,2,OurAirports continent enum: AF|AN|AS|EU|NA|OC|SA
iataCityCode,City,xsd:string,2,"IATA city code, may differ from any single airport's own code (e.g. LON)"
cityName,City,xsd:string,2,English-language city name
airportIataCode,Airport,xsd:string,2,3-character IATA airport code (distinct property from Airline's iataCode -- see code-scheme-registry.md)
airportIcaoCode,Airport,xsd:string,2,"4-character ICAO airport code, globally unique"
airportName,Airport,xsd:string,2,Official airport name
airportFacilityType,Airport,xsd:string,2,"Controlled value from cv:airport-facility-type, verbatim from OurAirports 'type' column"
latitudeDeg,Airport,xsd:decimal,2,"Decimal degrees, north positive, range -90..90"
longitudeDeg,Airport,xsd:decimal,2,"Decimal degrees, east positive, range -180..180"
elevationFt,Airport,xsd:integer,2,"Field elevation above mean sea level, in feet"
hasScheduledService,Airport,xsd:boolean,2,Mirrors OurAirports scheduled_service (yes/no)
municipalityName,Airport,xsd:string,2,"Raw municipality string from source, retained alongside resolved servesCity"
isoRegionCode,Airport,xsd:string,2,"ISO 3166-2 subdivision code (OurAirports iso_region); denormalized, not its own dimension in phase 2"
terminalCode,Terminal,xsd:string,2,e.g. '5' for London Heathrow Terminal 5
terminalName,Terminal,xsd:string,2,Terminal display name
gateCode,Gate,xsd:string,2,"Gate designator, e.g. 'A10'"
standCode,Stand,xsd:string,2,Aircraft parking stand designator
isRemoteStand,Stand,xsd:boolean,2,True if the stand has no boarding gate (bused/walked passengers)
ourairportsIdent,Airport,xsd:string,2,OurAirports' own natural-key 'ident' value; populated even without an IATA/ICAO code
flightNumber,ScheduledFlight,xsd:string,3,"Numeric/alphanumeric flight number suffix, e.g. '672' (carrier code comes from the marketing airline's iataCode)"
