entity_name,domain,meta_type,parent_class,iata_aidm_term,description,klm_context
Organization,Organization,THING,None,Party,Legal or commercial entity in the airline business network.,"KLM Group, SkyTeam Alliance, AF-KLM Corporate Entities"
Airline,Organization,THING,Organization,Carrier,AOC holder licensed for scheduled air passenger carriage.,"KLM Royal Dutch Airlines (IATA: KL, ICAO: KLM)"
OperatingCarrier,Organization,THING,Airline,OperatingCarrier,The specific airline operating aircraft and crew for a flight.,KLM Mainline / KLM Cityhopper operating regional feeders
MarketingCarrier,Organization,THING,Airline,MarketingCarrier,The commercial airline publishing and selling the flight number.,"KLM marketing Delta, Air France, and Virgin Atlantic flights"
Alliance,Organization,THING,Organization,Alliance,Global commercial alliance of airlines sharing codes & lounges.,SkyTeam Alliance (Founding Member KLM / Air France)
GroundHandler,Organization,THING,Organization,GroundHandler,"Apron, ramp, and terminal ground service operator.","KLM Ground Services at AMS Schiphol, Swissport at JFK"
BusinessUnit,Organization,THING,Organization,OrganizationalUnit,Internal business operating unit or division.,"KLM Cargo, KLM Engineering & Maintenance (E&M)"
LegalEntity,Organization,THING,Organization,LegalEntity,Registered commercial corporate legal entity.,Koninklijke Luchtvaart Maatschappij N.V. (Reg: NL)
Subsidiary,Organization,THING,Organization,Subsidiary,Directly owned subsidiary airline or business unit.,"KLM Cityhopper B.V., Transavia Airlines C.V."
Place,Place,THING,None,Location,Top-level spatial or geographic entity.,"Global destinations and hubs across Europe, Americas, Asia"
Country,Place,THING,Place,Country,Sovereign nation state with ISO 3166-1 alpha-2 code.,"Netherlands (NL), United States (US), Hungary (HU)"
City,Place,THING,Place,City,Metropolitan city served by airports with IATA city code.,"Amsterdam (AMS), New York (NYC), Budapest (BUD)"
Airport,Place,THING,Place,Aerodrome,"Aerodrome with runways, stands, gates, and navigation aids.","Schiphol (AMS/EHAM), JFK (JFK/KJFK), Liszt Ferenc (BUD/LHBP)"
CommercialAirport,Place,THING,Airport,CommercialAerodrome,Airport handling scheduled commercial passenger services.,"AMS Main Hub, JFK Terminal 4, CDG Joint SkyTeam Hub"
Terminal,Place,THING,Place,PassengerTerminal,"Passenger terminal building containing lounges, check-in, and gates.","AMS Lounge 1/2/3, Terminal 1/2/3, JFK T4"
Gate,Place,THING,Place,BoardingGate,Departure and arrival passenger boarding gate.,"AMS Gate D04, E18, F06, B22; JFK Gate B24, B20"
Stand,Place,THING,Place,AircraftStand,Designated apron aircraft parking stand with jet bridge/remote bus.,"AMS Stand D04, Pier E Stand 18 (Heavy Widebody Stand)"
TransportNetwork,TransportNetwork,THING,None,Network,"Commercial route network, timetables, and legs.",KLM Global Hub-and-Spoke Schedule & Transatlantic Joint Venture
Route,TransportNetwork,THING,TransportNetwork,Route,Directional or bidirectional airport pair route.,"AMS-JFK (Transatlantic Longhaul), AMS-BUD (European Feeder)"
ScheduledFlight,TransportNetwork,THING,TransportNetwork,ScheduledFlight,Timetabled commercial flight service repeating weekly.,"KL641 (AMS-JFK Daily 13:20), KL1972 (BUD-AMS Daily 06:30)"
FlightLeg,TransportNetwork,THING,TransportNetwork,FlightLeg,Non-stop takeoff-to-touchdown operational movement.,AMS-JFK Leg 1 (8h 25m Block Time)
FlightSegment,TransportNetwork,THING,TransportNetwork,FlightSegment,Commercial unit of carriage sold under one flight number.,BUD-AMS-JFK Connecting Itinerary Segment 1 & Segment 2
CodeshareService,TransportNetwork,THING,TransportNetwork,CodeshareFlight,Marketed flight service sold by partner carrier.,DL9380 (KLM operated KL641 marketed by Delta Air Lines)
Asset,Asset,THING,None,PhysicalAsset,"Physical asset owned, leased, or tracked by the airline.","Aircraft Fleet, Ground Service Equipment, Passenger Baggage"
