assignment_id,consignment_id,vehicle_id,route_id,leg_sequence,assigned_ts,status
ASG-0001,CN-2026-0001,VEH-FR-2210,LH-FRA-LYS-01,1,2026-08-20 05:40:00,PLANNED
ASG-0002,CN-2026-0002,VEH-AIR-9001,LH-FRA-MIL-01,1,2026-08-20 05:41:00,PLANNED
ASG-0003,CN-2026-0004,VEH-DE-1077,LH-NUE-FRA-01,2,2026-08-20 05:42:00,PLANNED
ASG-0004,CN-2026-0005,VEH-DE-1140,LH-FRA-BER-01,1,2026-08-20 05:20:00,ACTIVE
ASG-0005,CN-2026-0007,VEH-DE-1090,LH-STR-FRA-01,1,2026-08-20 05:44:00,PLANNED
ASG-0006,CN-2026-0008,VEH-DE-1051,LH-CGN-FRA-01,1,2026-08-20 05:45:00,PLANNED
ASG-0007,CN-2026-0009,VEH-DE-1078,LH-NUE-FRA-01,1,2026-08-20 05:46:00,PLANNED
ASG-0008,CN-2026-0003,VEH-DE-1120,LH-FRA-MUC-01,1,2026-08-20 05:47:00,PLANNED
ASG-0009,CN-2026-0016,VEH-DE-1043,LH-CGN-FRA-01,1,2026-08-20 05:48:00,ACTIVE
ASG-0010,CN-2026-0013,VEH-DE-1090,LH-STR-FRA-01,2,2026-08-20 05:49:00,PLANNED
ASG-0011,CN-2026-0006,VEH-DE-1042,LH-FRA-HAM-01,1,2026-08-20 05:35:00,ACTIVE
ASG-0012,CN-2026-0018,VEH-DE-1077,LH-NUE-FRA-01,1,2026-08-20 05:50:00,PLANNED
ASG-0013,CN-2026-0019,VEH-DE-1120,LH-FRA-MUC-01,2,2026-08-20 05:51:00,PLANNED
ASG-0014,CN-2026-0011,VEH-FR-2210,LH-FRA-LYS-01,2,2026-08-20 05:52:00,PLANNED
ASG-0015,CN-2026-0015,VEH-DE-1140,LH-FRA-BER-01,2,2026-08-20 05:53:00,ACTIVE
