hub_id,hub_name,hub_type,city,country,latitude,longitude,processing_capacity_hr,current_utilization_pct,status,operating_window,sensitivity_marking,last_telemetry_ts
HUB-FRA-01,Frankfurt Mega-Hub,MEGA_HUB,Frankfurt,DE,50.0379,8.5622,42000,97,DEGRADED,05:00-23:30,OPS-INTERNAL,2026-08-20 06:12:44
HUB-CGN-01,Cologne Regional Hub,REGIONAL_HUB,Cologne,DE,50.8659,7.1427,18000,61,OPERATIONAL,05:30-22:30,OPS-INTERNAL,2026-08-20 06:12:31
HUB-NUE-01,Nuremberg Regional Hub,REGIONAL_HUB,Nuremberg,DE,49.4987,11.0783,15000,54,OPERATIONAL,05:30-22:30,OPS-INTERNAL,2026-08-20 06:12:38
HUB-STR-01,Stuttgart Regional Hub,REGIONAL_HUB,Stuttgart,DE,48.6899,9.195,13000,66,OPERATIONAL,05:30-22:00,OPS-INTERNAL,2026-08-20 06:12:29
HUB-HAM-01,Hamburg Regional Hub,REGIONAL_HUB,Hamburg,DE,53.6304,9.9882,16000,72,OPERATIONAL,05:00-22:30,OPS-INTERNAL,2026-08-20 06:12:19
HUB-MUC-01,Munich Regional Hub,REGIONAL_HUB,Munich,DE,48.3538,11.7861,14000,70,OPERATIONAL,05:30-22:30,OPS-INTERNAL,2026-08-20 06:12:22
HUB-BER-01,Berlin Regional Hub,REGIONAL_HUB,Berlin,DE,52.3667,13.5033,15500,68,OPERATIONAL,05:00-22:30,OPS-INTERNAL,2026-08-20 06:12:41
HUB-LYS-01,Lyon Cross-Border Hub,REGIONAL_HUB,Lyon,FR,45.7256,5.0811,12000,58,OPERATIONAL,06:00-22:00,OPS-INTERNAL,2026-08-20 06:12:10
HUB-MIL-01,Milan Cross-Border Hub,REGIONAL_HUB,Milan,IT,45.6306,8.7281,12500,63,OPERATIONAL,06:00-22:00,OPS-INTERNAL,2026-08-20 06:12:05
HUB-VIE-01,Vienna Cross-Border Hub,REGIONAL_HUB,Vienna,AT,48.1103,16.5697,11000,60,OPERATIONAL,06:00-22:00,OPS-INTERNAL,2026-08-20 06:12:02
