event_id,event_ts,event_type,severity,hub_id,vehicle_id,metric_value,source_system
EV-0001,2026-08-20 05:58:12,CONVEYOR_FAULT,CRITICAL,HUB-FRA-01,,3.0,PLC-SCADA
EV-0002,2026-08-20 06:01:44,VOLUME_SURGE,CRITICAL,HUB-FRA-01,,131.0,WMS-COUNTER
EV-0003,2026-08-20 06:02:10,VOLUME_SURGE,WARN,HUB-FRA-01,,118.0,WMS-COUNTER
EV-0004,2026-08-20 06:03:02,DELAY,WARN,,VEH-DE-1042,22.0,TMS-GPS
EV-0005,2026-08-20 06:03:55,GPS_PING,INFO,,VEH-DE-1077,0.0,TMS-GPS
EV-0006,2026-08-20 06:04:20,CONVEYOR_FAULT,WARN,HUB-FRA-01,,1.0,PLC-SCADA
EV-0007,2026-08-20 06:05:11,VOLUME_SURGE,CRITICAL,HUB-FRA-01,,127.0,WMS-COUNTER
EV-0008,2026-08-20 06:05:40,GPS_PING,INFO,,VEH-DE-1090,0.0,TMS-GPS
EV-0009,2026-08-20 06:06:03,TEMP_BREACH,WARN,,VEH-AIR-9001,8.5,IOT-COLDCHAIN
EV-0010,2026-08-20 06:06:48,DELAY,INFO,,VEH-DE-1140,6.0,TMS-GPS
EV-0011,2026-08-20 06:07:22,VOLUME_SURGE,WARN,HUB-FRA-01,,121.0,WMS-COUNTER
EV-0012,2026-08-20 06:08:05,GPS_PING,INFO,,VEH-DE-1120,0.0,TMS-GPS
EV-0013,2026-08-20 06:08:59,CONVEYOR_FAULT,CRITICAL,HUB-FRA-01,,2.0,PLC-SCADA
EV-0014,2026-08-20 06:09:30,DELAY,WARN,,VEH-DE-1043,15.0,TMS-GPS
EV-0015,2026-08-20 06:10:12,VOLUME_SURGE,CRITICAL,HUB-FRA-01,,129.0,WMS-COUNTER
