vehicle_id,registration_plate,vehicle_type,capacity_parcels,current_latitude,current_longitude,current_route_id,assigned_driver_id,status,fuel_or_soc_pct,telemetry_ts
VEH-DE-1042,F-PX 1042,SEMI_TRAILER,1800,50.1,8.65,LH-FRA-CGN-01,DRV-0007,EN_ROUTE,61,2026-08-20 06:11:50
VEH-DE-1043,F-PX 1043,SEMI_TRAILER,1800,50.86,7.2,LH-CGN-FRA-01,DRV-0001,LOADING,88,2026-08-20 06:11:44
VEH-DE-1051,K-PX 1051,SWAP_BODY,1400,50.87,7.14,,DRV-0002,AVAILABLE,95,2026-08-20 06:11:39
VEH-DE-1052,K-PX 1052,SEMI_TRAILER,1800,50.87,7.14,,,AVAILABLE,73,2026-08-20 06:11:31
VEH-DE-1077,N-PX 1077,SEMI_TRAILER,1800,49.5,11.08,,DRV-0003,AVAILABLE,90,2026-08-20 06:11:22
VEH-DE-1078,N-PX 1078,SWAP_BODY,1400,49.5,11.08,,,LOADING,64,2026-08-20 06:11:18
VEH-DE-1090,S-PX 1090,SEMI_TRAILER,1800,48.69,9.2,,DRV-0005,AVAILABLE,81,2026-08-20 06:11:12
VEH-DE-1091,S-PX 1091,RIGID_TRUCK,900,48.69,9.2,,,MAINTENANCE,40,2026-08-20 05:50:03
VEH-DE-1120,M-PX 1120,SEMI_TRAILER,1800,48.35,11.79,,DRV-0008,AVAILABLE,77,2026-08-20 06:11:05
VEH-DE-1140,B-PX 1140,SEMI_TRAILER,1800,52.37,13.5,LH-FRA-BER-01,DRV-0009,EN_ROUTE,58,2026-08-20 06:10:58
VEH-FR-2210,69-PX-2210,SEMI_TRAILER,1800,45.73,5.08,,DRV-0010,AVAILABLE,84,2026-08-20 06:10:47
VEH-AIR-9001,D-ACARGO,CARGO_JET,9000,50.03,8.56,LH-FRA-MIL-01,,LOADING,100,2026-08-20 06:10:30
