tail_number,registration,aircraft_type,seat_capacity,assigned_route_id,status
PH-BVA,PH-BVA,B777-300ER,408,RTE-LHR-AMS,EN_ROUTE
PH-BVB,PH-BVB,B777-300ER,408,RTE-AMS-JFK,BOARDING
PH-BVC,PH-BVC,B777-300ER,408,RTE-JFK-AMS,GROUND
PH-BHA,PH-BHA,B787-10,344,RTE-DXB-AMS,EN_ROUTE
PH-BHB,PH-BHB,B787-10,344,RTE-AMS-DXB,GROUND
PH-BHC,PH-BHC,B787-10,344,RTE-AMS-SIN,GROUND
PH-AKA,PH-AKA,B787-9,294,RTE-AMS-JFK,GROUND
PH-AKB,PH-AKB,B787-9,294,RTE-JFK-AMS,GROUND
PH-AKC,PH-AKC,B787-9,294,RTE-AMS-SIN,GROUND
PH-AOE,PH-AOE,A330-300,292,RTE-SIN-AMS,GROUND
PH-AOF,PH-AOF,A330-300,292,,STANDBY
PH-AXA,PH-AXA,A321neo,210,RTE-AMS-LHR,GROUND
PH-AXB,PH-AXB,A321neo,210,RTE-CDG-AMS,EN_ROUTE
PH-AXC,PH-AXC,A321neo,210,RTE-AMS-CDG,GROUND
PH-BXA,PH-BXA,B737-800,189,RTE-CPH-AMS,EN_ROUTE
PH-BXB,PH-BXB,B737-800,189,RTE-AMS-CPH,GROUND
PH-BXC,PH-BXC,B737-800,189,RTE-AMS-FRA,GROUND
PH-EZA,PH-EZA,E195-E2,132,RTE-FRA-AMS,GROUND
PH-EZB,PH-EZB,E195-E2,132,,STANDBY
