flight_id,origin_airport_id,destination_airport_id,route_id,tail_number,operating_airline,scheduled_departure_utc,scheduled_arrival_utc,delay_min,connection_risk_tier,pax_count,status
KL1008,LHR,AMS,RTE-LHR-AMS,PH-BVA,KLM,2026-08-30T12:25:00Z,2026-08-30T13:40:00Z,45,TIGHT_MCT,318,AT_RISK
KL1009,AMS,LHR,RTE-AMS-LHR,PH-AXA,KLM,2026-08-30T16:00:00Z,2026-08-30T17:15:00Z,0,STANDARD,165,SCHEDULED
KL1250,CDG,AMS,RTE-CDG-AMS,PH-AXB,KLM,2026-08-30T12:25:00Z,2026-08-30T13:35:00Z,75,TIGHT_MCT,187,AT_RISK
KL1251,AMS,CDG,RTE-AMS-CDG,PH-AXC,KLM,2026-08-30T16:20:00Z,2026-08-30T17:30:00Z,0,STANDARD,172,SCHEDULED
KL427,DXB,AMS,RTE-DXB-AMS,PH-BHA,KLM,2026-08-30T07:10:00Z,2026-08-30T13:50:00Z,35,TIGHT_MCT,301,AT_RISK
KL428,AMS,DXB,RTE-AMS-DXB,PH-BHB,KLM,2026-08-30T21:15:00Z,2026-08-31T04:55:00Z,0,STANDARD,289,SCHEDULED
KL198,CPH,AMS,RTE-CPH-AMS,PH-BXA,KLM,2026-08-30T12:35:00Z,2026-08-30T14:00:00Z,0,TIGHT_MCT,149,SCHEDULED
KL199,AMS,CPH,RTE-AMS-CPH,PH-BXB,KLM,2026-08-30T17:00:00Z,2026-08-30T18:25:00Z,0,STANDARD,140,SCHEDULED
KL605,AMS,JFK,RTE-AMS-JFK,PH-BVB,KLM / Delta (joint venture),2026-08-30T15:00:00Z,2026-08-30T23:25:00Z,0,STANDARD,335,SCHEDULED
KL606,JFK,AMS,RTE-JFK-AMS,PH-BVC,KLM / Delta (joint venture),2026-08-30T18:30:00Z,2026-08-31T02:55:00Z,0,STANDARD,340,SCHEDULED
KL607,AMS,JFK,RTE-AMS-JFK,PH-AKA,KLM / Delta (joint venture),2026-08-30T19:30:00Z,2026-08-31T03:55:00Z,0,STANDARD,241,SCHEDULED
KL608,JFK,AMS,RTE-JFK-AMS,PH-AKB,KLM / Delta (joint venture),2026-08-30T22:00:00Z,2026-08-31T06:25:00Z,0,STANDARD,235,SCHEDULED
KL837,AMS,SIN,RTE-AMS-SIN,PH-BHC,KLM,2026-08-30T15:10:00Z,2026-08-31T03:35:00Z,0,STANDARD,282,SCHEDULED
KL836,SIN,AMS,RTE-SIN-AMS,PH-AOE,KLM,2026-08-30T09:00:00Z,2026-08-30T21:25:00Z,0,STANDARD,228,SCHEDULED
KL839,AMS,SIN,RTE-AMS-SIN,PH-AKC,KLM,2026-08-30T22:30:00Z,2026-08-31T11:55:00Z,0,STANDARD,255,SCHEDULED
KL838,SIN,AMS,RTE-SIN-AMS,PH-BHC,KLM,2026-08-30T10:30:00Z,2026-08-30T23:55:00Z,0,STANDARD,260,SCHEDULED
KL791,AMS,GRU,RTE-AMS-GRU,PH-BVA,KLM,2026-08-30T15:20:00Z,2026-08-31T03:00:00Z,0,STANDARD,229,SCHEDULED
KL792,GRU,AMS,RTE-GRU-AMS,PH-BHA,KLM,2026-08-30T10:00:00Z,2026-08-30T21:40:00Z,0,STANDARD,233,SCHEDULED
KL793,AMS,GRU,RTE-AMS-GRU,PH-AKA,KLM,2026-08-30T23:00:00Z,2026-08-31T10:40:00Z,0,STANDARD,210,SCHEDULED
KL794,GRU,AMS,RTE-GRU-AMS,PH-BVB,KLM,2026-08-30T13:00:00Z,2026-08-31T00:40:00Z,0,STANDARD,219,SCHEDULED
KL861,AMS,HND,RTE-AMS-HND,PH-BHB,KLM,2026-08-30T14:55:00Z,2026-08-31T02:25:00Z,0,STANDARD,298,SCHEDULED
KL862,HND,AMS,RTE-HND-AMS,PH-BHC,KLM,2026-08-30T08:00:00Z,2026-08-30T19:30:00Z,0,STANDARD,301,SCHEDULED
KL863,AMS,HND,RTE-AMS-HND,PH-AOE,KLM,2026-08-30T23:45:00Z,2026-08-31T11:15:00Z,0,STANDARD,265,SCHEDULED
KL864,HND,AMS,RTE-HND-AMS,PH-BHC,KLM,2026-08-30T11:00:00Z,2026-08-30T22:30:00Z,0,STANDARD,288,SCHEDULED
KL1837,AMS,FRA,RTE-AMS-FRA,PH-BXC,KLM,2026-08-30T09:00:00Z,2026-08-30T10:05:00Z,0,STANDARD,103,SCHEDULED
KL1838,FRA,AMS,RTE-FRA-AMS,PH-EZA,KLM,2026-08-30T11:00:00Z,2026-08-30T12:05:00Z,0,STANDARD,98,SCHEDULED
KL1839,AMS,FRA,RTE-AMS-FRA,PH-BXC,KLM,2026-08-30T18:00:00Z,2026-08-30T19:05:00Z,0,STANDARD,110,SCHEDULED
KL1840,FRA,AMS,RTE-FRA-AMS,PH-BXA,KLM,2026-08-30T20:00:00Z,2026-08-30T21:05:00Z,0,STANDARD,95,SCHEDULED
