assignment_id,flight_id,tail_number,route_id,assigned_ts,status
ASG-KL1008-01,KL1008,PH-BVA,RTE-LHR-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL1009-01,KL1009,PH-AXA,RTE-AMS-LHR,2026-08-30 06:00:00,SCHEDULED
ASG-KL1250-01,KL1250,PH-AXB,RTE-CDG-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL1251-01,KL1251,PH-AXC,RTE-AMS-CDG,2026-08-30 06:00:00,SCHEDULED
ASG-KL427-01,KL427,PH-BHA,RTE-DXB-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL428-01,KL428,PH-BHB,RTE-AMS-DXB,2026-08-30 06:00:00,SCHEDULED
ASG-KL198-01,KL198,PH-BXA,RTE-CPH-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL199-01,KL199,PH-BXB,RTE-AMS-CPH,2026-08-30 06:00:00,SCHEDULED
ASG-KL605-01,KL605,PH-BVB,RTE-AMS-JFK,2026-08-30 06:00:00,SCHEDULED
ASG-KL606-01,KL606,PH-BVC,RTE-JFK-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL607-01,KL607,PH-AKA,RTE-AMS-JFK,2026-08-30 06:00:00,SCHEDULED
ASG-KL608-01,KL608,PH-AKB,RTE-JFK-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL837-01,KL837,PH-BHC,RTE-AMS-SIN,2026-08-30 06:00:00,SCHEDULED
ASG-KL836-01,KL836,PH-AOE,RTE-SIN-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL839-01,KL839,PH-AKC,RTE-AMS-SIN,2026-08-30 06:00:00,SCHEDULED
ASG-KL838-01,KL838,PH-BHC,RTE-SIN-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL791-01,KL791,PH-BVA,RTE-AMS-GRU,2026-08-30 06:00:00,SCHEDULED
ASG-KL792-01,KL792,PH-BHA,RTE-GRU-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL793-01,KL793,PH-AKA,RTE-AMS-GRU,2026-08-30 06:00:00,SCHEDULED
ASG-KL794-01,KL794,PH-BVB,RTE-GRU-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL861-01,KL861,PH-BHB,RTE-AMS-HND,2026-08-30 06:00:00,SCHEDULED
ASG-KL862-01,KL862,PH-BHC,RTE-HND-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL863-01,KL863,PH-AOE,RTE-AMS-HND,2026-08-30 06:00:00,SCHEDULED
ASG-KL864-01,KL864,PH-BHC,RTE-HND-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL1837-01,KL1837,PH-BXC,RTE-AMS-FRA,2026-08-30 06:00:00,SCHEDULED
ASG-KL1838-01,KL1838,PH-EZA,RTE-FRA-AMS,2026-08-30 06:00:00,SCHEDULED
ASG-KL1839-01,KL1839,PH-BXC,RTE-AMS-FRA,2026-08-30 06:00:00,SCHEDULED
ASG-KL1840-01,KL1840,PH-BXA,RTE-FRA-AMS,2026-08-30 06:00:00,SCHEDULED
