route_id,source_airport_id,destination_airport_id,service_type,distance_km,scheduled_flight_time_min,operating_airline,max_seats,status
RTE-LHR-AMS,LHR,AMS,MAINLINE,358,75,KLM,210,SLOT_CONSTRAINED
RTE-AMS-LHR,AMS,LHR,MAINLINE,358,75,KLM,210,SLOT_CONSTRAINED
RTE-CDG-AMS,CDG,AMS,MAINLINE,397,70,KLM,210,ACTIVE
RTE-AMS-CDG,AMS,CDG,MAINLINE,397,70,KLM,210,ACTIVE
RTE-DXB-AMS,DXB,AMS,MAINLINE,5150,400,KLM,344,ACTIVE
RTE-AMS-DXB,AMS,DXB,MAINLINE,5150,400,KLM,344,ACTIVE
RTE-CPH-AMS,CPH,AMS,MAINLINE,623,85,KLM,189,ACTIVE
RTE-AMS-CPH,AMS,CPH,MAINLINE,623,85,KLM,189,ACTIVE
RTE-AMS-JFK,AMS,JFK,MAINLINE,5871,505,KLM / Delta (joint venture),408,ACTIVE
RTE-JFK-AMS,JFK,AMS,MAINLINE,5871,505,KLM / Delta (joint venture),408,ACTIVE
RTE-AMS-SIN,AMS,SIN,MAINLINE,10464,745,KLM,344,ACTIVE
RTE-SIN-AMS,SIN,AMS,MAINLINE,10464,745,KLM,344,ACTIVE
RTE-AMS-GRU,AMS,GRU,MAINLINE,9615,700,KLM,294,ACTIVE
RTE-GRU-AMS,GRU,AMS,MAINLINE,9615,700,KLM,294,ACTIVE
RTE-AMS-HND,AMS,HND,MAINLINE,9310,690,KLM,344,ACTIVE
RTE-HND-AMS,HND,AMS,MAINLINE,9310,690,KLM,344,ACTIVE
RTE-AMS-FRA,AMS,FRA,MAINLINE,367,65,KLM,132,ACTIVE
RTE-FRA-AMS,FRA,AMS,MAINLINE,367,65,KLM,132,ACTIVE
